world,name,family,x,z,exteriorRadius,referenceHeight,changed,replacementChecksPassed,before_Profile,before_ArrivalMismatch,before_Grade,before_MeanEarthwork,before_WorstEarthwork,before_Length,before_BlockedSegments,after_Profile,after_ArrivalMismatch,after_Grade,after_MeanEarthwork,after_WorstEarthwork,after_Length,after_BlockedSegments
RoadSeedA,Crypt3,dungeon,-6841,5255.5,11,80.12265,True,True,True,19.039848,0.35000494,2.8428779,8.681252,64,0,True,0.09609985,0.35000733,2.478111,9.954468,80.8153,0
RoadSeedA,Crypt4,dungeon,7045.1,4164.5,18,46.33578,True,True,True,18.415333,0.35000494,4.452749,13.094044,64,0,True,0.22161102,0.35000446,1.2192043,3.5481682,126.256744,0
RoadSeedA,Crypt2,dungeon,5558.7,4740.5,12,84.89525,True,True,True,13.008514,0.3500061,7.6007295,19.756134,64,0,True,0.30395508,0.2531049,1.1513166,4.703186,109.5971,0
RoadSeedA,Crypt2,dungeon,384.8,7159.7,12,58.955765,False,,True,12.912437,0.350003,2.1150599,4.671692,64,30,True,12.912437,0.350003,2.1150599,4.671692,64,30
RoadSeedA,MountainCave02,frost cave,-8192,768,15,146.6,False,,False,40.625,0,0,0,0,0,False,40.625,0,0,0,0,0
RoadSeedA,MountainCave02,frost cave,5056,6464,15,166.8,False,,False,36.52501,0,0,0,0,0,False,36.52501,0,0,0,0,0
RoadSeedA,MountainCave02,frost cave,2880,-192,15,184.6,False,,False,35.649994,0,0,0,0,0,False,35.649994,0,0,0,0,0
RoadSeedA,MountainCave02,frost cave,-4224,2112,15,161.6,False,,False,33.762497,0,0,0,0,0,False,33.762497,0,0,0,0,0
RoadSeedA,WoodFarm1,settlement,0,-512,32,66,True,True,True,12.849998,0.35000494,0.71499705,2.0460205,64,0,True,1.2250061,0.3500095,1.2986506,3.942482,107.24107,0
RoadSeedA,WoodVillage1,settlement,-1984,1792,32,35,False,,True,12.6,0.35,0.29428262,0.9514179,64,0,True,12.6,0.35,0.29428262,0.9514179,64,0
RoadSeedA,MWL_WoodFarm1,settlement,-9161.3,1030.2,18,131.96089,True,True,True,11.788834,0.3500061,2.8704906,7.0662537,64,0,True,0.39439392,0.3500183,4.2468257,9.788841,126.2566,0
RoadSeedA,WoodVillage1,settlement,-1984,1536,32,63.2,False,,False,10.200001,0,0,0,0,0,False,10.200001,0,0,0,0,0
RoadSeedA,TarPit1,tar pit,-6599.5,-2045.6,20,44.369377,False,,True,10.190681,0.19439316,0.6758133,1.7969398,64,0,True,10.190681,0.19439316,0.6758133,1.7969398,64,0
RoadSeedA,TarPit3,tar pit,59.5,4017.5,14,51.28242,False,,True,6.935547,0.3500023,2.2110956,6.8179684,64,0,True,6.935547,0.3500023,2.2110956,6.8179684,64,0
RoadSeedA,TarPit3,tar pit,5509.2,-1464.5,14,41.119373,False,,True,5.1294403,0.3500023,0.9153426,1.9289455,64,0,True,5.1294403,0.3500023,0.9153426,1.9289455,64,0
RoadSeedA,TarPit3,tar pit,-4857.5,4101.7,14,36.992195,False,,True,5.0217705,0.34999847,1.70478,4.854267,64,0,True,5.0217705,0.34999847,1.70478,4.854267,64,0
RoadSeedA,StoneTowerRuins05,tower,-2434.1,2816.6,22,183.73596,True,True,True,47.532578,0.3500122,3.554515,10.507874,64,39,True,1.1416779,0.3500229,1.6459776,5.036545,228.79153,0
RoadSeedA,Mistlands_GuardTower1_new,tower,8707.5,1089.6,24,36.04238,False,,False,39.99444,0,0,0,0,0,False,39.99444,0,0,0,0,0
RoadSeedA,StoneTowerRuins05,tower,-9159.7,1929.5,22,224.3413,False,,False,39.208145,0,0,0,0,0,False,39.208145,0,0,0,0,0
RoadSeedA,StoneTowerRuins05,tower,5238.1,6528.4,22,183.4081,False,,False,36.616608,0,0,0,0,0,False,36.616608,0,0,0,0,0
RoadSeedA,TrollCave02,troll cave,-4856.3,-1858.3,12,49.161655,False,,False,11.922661,0,0,0,0,0,False,11.922661,0,0,0,0,0
RoadSeedA,TrollCave02,troll cave,4612.6,1724.1,12,45.51242,False,,True,11.203987,0.3500023,1.5714506,4.30814,64,0,True,11.203987,0.3500023,1.5714506,4.30814,64,0
RoadSeedA,TrollCave02,troll cave,-1726.4,4986.6,12,42.065865,False,,True,10.211048,0.35,0.40062127,1.2915974,64,0,True,10.211048,0.35,0.40062127,1.2915974,64,0
RoadSeedA,TrollCave02,troll cave,3712.5,3711.6,12,39.515316,False,,True,10.056362,0.3384737,0.47762802,1.5066624,64,0,True,10.056362,0.3384737,0.47762802,1.5066624,64,0
RoadSeedB,Crypt2,dungeon,4151.2,3781,12,56.268745,False,,True,23.21938,0.35000107,0.34739593,2.5082512,64,0,True,23.21938,0.35000107,0.34739593,2.5082512,64,0
RoadSeedB,Crypt2,dungeon,-4359.8,1909.8,12,59.72087,False,,True,21.758453,0.35000306,3.2096875,8.542351,64,0,True,21.758453,0.35000306,3.2096875,8.542351,64,0
RoadSeedB,Crypt3,dungeon,2302.9,1534,11,62.45687,False,,True,18.459286,0.3500023,3.704256,13.22908,64,0,True,18.459286,0.3500023,3.704256,13.22908,64,0
RoadSeedB,Crypt2,dungeon,1590.6,3522.2,12,54.42923,False,,True,17.616386,0.3500023,0.9648509,4.50222,64,0,True,17.616386,0.3500023,0.9648509,4.50222,64,0
RoadSeedB,MountainCave02,frost cave,320,2816,15,290.3,False,,False,38.249985,0,0,0,0,0,False,38.249985,0,0,0,0,0
RoadSeedB,MountainCave02,frost cave,7296,576,15,211.8,False,,False,35.225006,0,0,0,0,0,False,35.225006,0,0,0,0,0
RoadSeedB,MountainCave02,frost cave,7232,320,15,195,False,,False,35.024994,0,0,0,0,0,False,35.024994,0,0,0,0,0
RoadSeedB,MountainCave02,frost cave,-6656,-768,15,274,False,,False,33.587494,0,0,0,0,0,False,33.587494,0,0,0,0,0
RoadSeedB,WoodVillage1,settlement,-2816,128,32,74.5,False,,False,13.149998,0,0,0,0,0,False,13.149998,0,0,0,0,0
RoadSeedB,MWL_WoodFarm1,settlement,-8069.3,821.9,18,141.45418,False,,False,12.591766,0,0,0,0,0,False,12.591766,0,0,0,0,0
RoadSeedB,MWL_WoodFarm1,settlement,1737,3831.9,18,175.80286,False,,False,12.247498,0,0,0,0,0,False,12.247498,0,0,0,0,0
RoadSeedB,MWL_WoodFarm1,settlement,-3705.2,2806.2,18,124.36782,False,,False,11.625526,0,0,0,0,0,False,11.625526,0,0,0,0,0
RoadSeedB,TarPit2,tar pit,-2810,4796.1,25,72.73025,True,True,True,5.928955,0.35000494,0.5125753,2.3251762,64,0,True,0.7301254,0.23914962,0.5607133,2.0559082,134.15733,0
RoadSeedB,TarPit1,tar pit,-3460.7,-889.8,20,43.744728,False,,True,5.911106,0.35000134,0.45106748,1.2804794,64,0,True,5.911106,0.35000134,0.45106748,1.2804794,64,0
RoadSeedB,TarPit1,tar pit,3256.2,-3126.3,20,55.466087,True,True,True,5.5170326,0.31879297,0.46417147,1.270359,64,0,True,0.035648346,0.27159134,0.63160884,1.797329,93.024414,0
RoadSeedB,TarPit1,tar pit,2101.2,-4869.1,20,38.90493,False,,True,5.4905586,0.35000134,0.46747527,1.2799816,64,0,True,5.4905586,0.35000134,0.46747527,1.2799816,64,0
RoadSeedB,StoneTowerRuins05,tower,6979.8,517.7,22,180.38522,False,,False,44.14438,0,0,0,0,0,False,44.14438,0,0,0,0,0
RoadSeedB,Mistlands_GuardTower1_new,tower,6649.4,-3907.4,24,51.808113,True,True,True,39.48667,0.3500061,6.167422,14.738602,64,0,True,0.62571335,0.35000902,6.517687,22.848923,120.17681,0
RoadSeedB,StoneTowerRuins05,tower,7170.4,445.7,22,412.80765,False,,False,39.04657,0,0,0,0,0,False,39.04657,0,0,0,0,0
RoadSeedB,Mistlands_GuardTower1_ruined_new,tower,9594.8,441.1,20,65.50877,False,,False,38.30625,0,0,0,0,0,False,38.30625,0,0,0,0,0
RoadSeedB,TrollCave02,troll cave,1913,-2246.5,12,44.421093,False,,True,12.0398445,0.35000038,0.76631355,2.0478668,64,0,True,12.0398445,0.35000038,0.76631355,2.0478668,64,0
RoadSeedB,TrollCave02,troll cave,-643.4,-1793.6,12,32.59578,False,,True,12.038357,0.3500015,0.633118,2.2768745,64,24,True,12.038357,0.3500015,0.633118,2.2768745,64,24
RoadSeedB,TrollCave02,troll cave,3393.6,-6778.9,12,44.804825,False,,True,11.392761,0.35000134,0.5015841,1.9026585,64,0,True,11.392761,0.35000134,0.5015841,1.9026585,64,0
RoadSeedB,TrollCave02,troll cave,829.7,7238.6,12,48.94937,False,,True,10.447533,0.3500023,0.9919937,2.7035675,64,0,True,10.447533,0.3500023,0.9919937,2.7035675,64,0
RoadSeedC,Crypt3,dungeon,-5576,-4097.2,11,43.330006,True,True,True,25.960499,0.35000494,6.4727845,13.022083,64,0,True,1.0075302,0.3500088,5.591726,11.805153,82.45526,0
RoadSeedC,Crypt4,dungeon,1919.6,1027.7,18,55.337914,False,,True,25.601093,0.3500023,8.124049,22.040989,64,0,True,25.601093,0.3500023,8.124049,22.040989,64,0
RoadSeedC,Crypt3,dungeon,-831.1,-2942.1,11,54.858284,False,,True,25.083317,0.06962187,0.2844513,3.2658615,64,0,True,25.083317,0.06962187,0.2844513,3.2658615,64,0
RoadSeedC,Crypt4,dungeon,2242,1589.9,18,82.74502,False,,False,15.617432,0,0,0,0,0,False,15.617432,0,0,0,0,0
RoadSeedC,MountainCave02,frost cave,2816,1472,15,190.9,False,,False,41.862503,0,0,0,0,0,False,41.862503,0,0,0,0,0
RoadSeedC,MountainCave02,frost cave,-2752,4352,15,169.9,False,,False,34.874985,0,0,0,0,0,False,34.874985,0,0,0,0,0
RoadSeedC,MountainCave02,frost cave,-9024,1024,15,130.5,False,,False,34.112503,0,0,0,0,0,False,34.112503,0,0,0,0,0
RoadSeedC,MountainCave02,frost cave,-8128,-2752,15,173.7,False,,True,31.08751,0.3500061,0.67295986,2.1329956,64,31,True,31.08751,0.3500061,0.67295986,2.1329956,64,31
RoadSeedC,MWL_WoodFarm1,settlement,6529.4,4744.2,18,137.95108,False,,False,12.239075,0,0,0,0,0,False,12.239075,0,0,0,0,0
RoadSeedC,WoodVillage2,settlement,-896,2816,32,41.2,True,True,True,11.749996,0.16280226,0.32456237,0.9586029,64,0,True,0.7556305,0.350005,1.0206027,2.144165,92.38832,0
RoadSeedC,WoodVillage1,settlement,-1280,2560,32,73.5,False,,True,10.050003,0.35000262,1.1006001,2.324997,64,5,True,10.050003,0.35000262,1.1006001,2.324997,64,5
RoadSeedC,MWL_WoodFarm1,settlement,4994,130.8,18,114.74007,True,True,True,8.4550705,0.3500061,1.9164598,4.5703583,64,0,True,0.767601,0.35000467,1.585144,4.861168,89.321915,0
